Regime,Strategy,Days,Total Return,Sharpe,Win Rate
Bull Market,Buy & Hold,596,0.9034676275576621,2.983671045772969,0.5939597315436241
Bull Market,Baseline ML,596,0.6331518054542533,2.3668218248740933,0.5385906040268457
Bull Market,Adaptive,596,0.22610962713174731,1.1010549756309116,0.4278523489932886
Bull Market,Regime-Aware Strategy,596,0.18993546838412811,0.9028945046441421,0.4278523489932886
Bear Market,Buy & Hold,720,0.49987779643429775,0.9486997592334226,0.5472222222222223
Bear Market,Baseline ML,720,0.1753254757827316,0.43492588585454384,0.49583333333333335
Bear Market,Adaptive,720,-0.11196933127007569,-0.2236608039933063,0.4097222222222222
Bear Market,Regime-Aware Strategy,720,-0.382332595692936,-2.803576299837041,0.015277777777777777
High Volatility,Buy & Hold,300,-0.11629923656658991,-0.08843483729571594,0.49333333333333335
High Volatility,Baseline ML,300,-0.217141104426537,-0.43415580376023605,0.37
High Volatility,Adaptive,300,-0.2241041753213735,-0.5900414288950446,0.28
High Volatility,Regime-Aware Strategy,300,-0.15701949001521975,-1.3880735004520643,0.13
